ComplexName,Reference
18S U11/U12 snRNP,Q15393
18S U11/U12 snRNP,Q15427
18S U11/U12 snRNP,Q15696
18S U11/U12 snRNP,Q16560
18S U11/U12 snRNP,Q6IEG0
18S U11/U12 snRNP,Q6P2Q9
18S U11/U12 snRNP,Q8N8D1
18S U11/U12 snRNP,Q8TBF4
18S U11/U12 snRNP,Q96LT9
18S U11/U12 snRNP,Q9BV90
18S U11/U12 snRNP,Q9BWJ5
18S U11/U12 snRNP,Q9UDW3
18S U11/U12 snRNP,Q9Y3B4
20S methylosome-SmD complex,O14744
20S methylosome-SmD complex,P54105
20S methylosome-SmD complex,P62314
20S methylosome-SmD complex,P62318
20S methylosome and RG-containing Sm protein complex,O14744
20S methylosome and RG-containing Sm protein complex,P14678
20S methylosome and RG-containing Sm protein complex,P54105
20S methylosome and RG-containing Sm protein complex,P62314
20S methylosome and RG-containing Sm protein complex,P62316
20S methylosome and RG-containing Sm protein complex,P62318
20S methyltransferase core complex,O14744
20S methyltransferase core complex,P54105
20S proteasome,O14818
20S proteasome,P20618
20S proteasome,P25786
20S proteasome,P25787
20S proteasome,P25788
20S proteasome,P25789
20S proteasome,P28066
20S proteasome,P28070
20S proteasome,P28072
20S proteasome,P28074
20S proteasome,P49720
20S proteasome,P49721
20S proteasome,P60900
20S proteasome,Q99436
26S proteasome,O14818
26S proteasome,P17980
26S proteasome,P20618
26S proteasome,P25786
26S proteasome,P25787
26S proteasome,P25788
26S proteasome,P25789
26S proteasome,P28066
26S proteasome,P28070
26S proteasome,P28072
26S proteasome,P28074
26S proteasome,P35998
26S proteasome,P43686
26S proteasome,P49720
26S proteasome,P49721
26S proteasome,P55036
26S proteasome,P60900
26S proteasome,P62191
26S proteasome,P62195
26S proteasome,P62333
26S proteasome,Q99436
26S proteasome,Q9UNM6
"28S ribosomal subunit, mitochondrial",O15235
"28S ribosomal subunit, mitochondrial",O60783
"28S ribosomal subunit, mitochondrial",P51398
"28S ribosomal subunit, mitochondrial",P82650
"28S ribosomal subunit, mitochondrial",P82663
"28S ribosomal subunit, mitochondrial",P82664
"28S ribosomal subunit, mitochondrial",P82673
"28S ribosomal subunit, mitochondrial",P82675
"28S ribosomal subunit, mitochondrial",P82909
"28S ribosomal subunit, mitochondrial",P82912
"28S ribosomal subunit, mitochondrial",P82914
"28S ribosomal subunit, mitochondrial",P82921
"28S ribosomal subunit, mitochondrial",P82930
"28S ribosomal subunit, mitochondrial",P82932
"28S ribosomal subunit, mitochondrial",P82933
"28S ribosomal subunit, mitochondrial",Q92552
"28S ribosomal subunit, mitochondrial",Q92665
"28S ribosomal subunit, mitochondrial",Q96EL2
"28S ribosomal subunit, mitochondrial",Q9BYN8
"28S ribosomal subunit, mitochondrial",Q9NP92
"28S ribosomal subunit, mitochondrial",Q9NVS2
"28S ribosomal subunit, mitochondrial",Q9Y291
"28S ribosomal subunit, mitochondrial",Q9Y2Q9
"28S ribosomal subunit, mitochondrial",Q9Y2R5
"28S ribosomal subunit, mitochondrial",Q9Y2R9
"28S ribosomal subunit, mitochondrial",Q9Y399
"28S ribosomal subunit, mitochondrial",Q9Y3D3
"28S ribosomal subunit, mitochondrial",Q9Y3D5
"28S ribosomal subunit, mitochondrial",Q9Y3D9
"28S ribosomal subunit, mitochondrial",Q9Y676
2AR-mGluR2 complex,P08913
2AR-mGluR2 complex,P42262
3-Hydroxyacyl CoA dehydrogenase,P40939
3-Hydroxyacyl CoA dehydrogenase,P55084
3-methylcrotonyl-CoA carboxylase,Q96RQ3
3-methylcrotonyl-CoA carboxylase,Q9HCC0
"39S ribosomal subunit, mitochondrial",O75394
"39S ribosomal subunit, mitochondrial",P09001
"39S ribosomal subunit, mitochondrial",P49406
"39S ribosomal subunit, mitochondrial",P52815
"39S ribosomal subunit, mitochondrial",P83111
"39S ribosomal subunit, mitochondrial",Q13084
"39S ribosomal subunit, mitochondrial",Q13405
"39S ribosomal subunit, mitochondrial",Q16540
"39S ribosomal subunit, mitochondrial",Q4U2R6
"39S ribosomal subunit, mitochondrial",Q5T653
"39S ribosomal subunit, mitochondrial",Q6P161
"39S ribosomal subunit, mitochondrial",Q6P1L8
"39S ribosomal subunit, mitochondrial",Q7Z2W9
"39S ribosomal subunit, mitochondrial",Q7Z7F7
"39S ribosomal subunit, mitochondrial",Q7Z7H8
"39S ribosomal subunit, mitochondrial",Q86TS9
"39S ribosomal subunit, mitochondrial",Q8IXM3
"39S ribosomal subunit, mitochondrial",Q8N5N7
"39S ribosomal subunit, mitochondrial",Q8N983
"39S ribosomal subunit, mitochondrial",Q8TCC3
"39S ribosomal subunit, mitochondrial",Q96A35
"39S ribosomal subunit, mitochondrial",Q96DV4
"39S ribosomal subunit, mitochondrial",Q96EL3
"39S ribosomal subunit, mitochondrial",Q96GC5
"39S ribosomal subunit, mitochondrial",Q9BQ48
"39S ribosomal subunit, mitochondrial",Q9BRJ2
"39S ribosomal subunit, mitochondrial",Q9BYC8
"39S ribosomal subunit, mitochondrial",Q9BYC9
"39S ribosomal subunit, mitochondrial",Q9BYD1
"39S ribosomal subunit, mitochondrial",Q9BYD2
"39S ribosomal subunit, mitochondrial",Q9BYD3
"39S ribosomal subunit, mitochondrial",Q9BYD6
"39S ribosomal subunit, mitochondrial",Q9BZE1
"39S ribosomal subunit, mitochondrial",Q9H0U6
"39S ribosomal subunit, mitochondrial",Q9H2W6
"39S ribosomal subunit, mitochondrial",Q9H9J2
"39S ribosomal subunit, mitochondrial",Q9HD33
"39S ribosomal subunit, mitochondrial",Q9NQ50
"39S ribosomal subunit, mitochondrial",Q9NRX2
"39S ribosomal subunit, mitochondrial",Q9NWU5
"39S ribosomal subunit, mitochondrial",Q9NX20
"39S ribosomal subunit, mitochondrial",Q9NYK5
"39S ribosomal subunit, mitochondrial",Q9NZE8
"39S ribosomal subunit, mitochondrial",Q9P015
"39S ribosomal subunit, mitochondrial",Q9P0J6
"39S ribosomal subunit, mitochondrial",Q9P0M9
"39S ribosomal subunit, mitochondrial",Q9Y3B7
"39S ribosomal subunit, mitochondrial",Q9Y6G3
3M complex,O75147
3M complex,P04637
3M complex,P62877
3M complex,Q14999
3M complex,Q8IWT3
3M complex,Q8N3Y1
3M complex,Q9H0W5
3M core complex,O75147
3M core complex,Q14999
3M core complex,Q9H0W5
"40S ribosomal subunit, cytoplasmic",P08708
"40S ribosomal subunit, cytoplasmic",P08865
"40S ribosomal subunit, cytoplasmic",P15880
"40S ribosomal subunit, cytoplasmic",P22090
"40S ribosomal subunit, cytoplasmic",P23396
"40S ribosomal subunit, cytoplasmic",P25398
"40S ribosomal subunit, cytoplasmic",P39019
"40S ribosomal subunit, cytoplasmic",P46781
"40S ribosomal subunit, cytoplasmic",P42677
"40S ribosomal subunit, cytoplasmic",P46782
"40S ribosomal subunit, cytoplasmic",P46783
"40S ribosomal subunit, cytoplasmic",P60866
"40S ribosomal subunit, cytoplasmic",P61247
"40S ribosomal subunit, cytoplasmic",P62081
"40S ribosomal subunit, cytoplasmic",P62241
"40S ribosomal subunit, cytoplasmic",P62244
"40S ribosomal subunit, cytoplasmic",P62249
"40S ribosomal subunit, cytoplasmic",P62263
"40S ribosomal subunit, cytoplasmic",P62266
"40S ribosomal subunit, cytoplasmic",P62269
"40S ribosomal subunit, cytoplasmic",P62273
"40S ribosomal subunit, cytoplasmic",P62277
"40S ribosomal subunit, cytoplasmic",P62280
"40S ribosomal subunit, cytoplasmic",P62701
"40S ribosomal subunit, cytoplasmic",P62753
"40S ribosomal subunit, cytoplasmic",P62841
"40S ribosomal subunit, cytoplasmic",P62847
"40S ribosomal subunit, cytoplasmic",P62851
"40S ribosomal subunit, cytoplasmic",P62854
"40S ribosomal subunit, cytoplasmic",P62857
"40S ribosomal subunit, cytoplasmic",P62861
"40S ribosomal subunit, cytoplasmic",P62979
"40S ribosomal subunit, cytoplasmic",P63220
4E-T-DDX6-CNOT1 complex,A5YKK6
4E-T-DDX6-CNOT1 complex,P26196
4E-T-DDX6-CNOT1 complex,Q9NRA8
53BP1-containing complex,P12956
53BP1-containing complex,P13010
53BP1-containing complex,P15927
53BP1-containing complex,P27694
53BP1-containing complex,Q12888
"55S ribosome, mitochondrial",O15235
"55S ribosome, mitochondrial",O60783
"55S ribosome, mitochondrial",O75394
"55S ribosome, mitochondrial",P09001
"55S ribosome, mitochondrial",P49406
"55S ribosome, mitochondrial",P51398
"55S ribosome, mitochondrial",P52815
"55S ribosome, mitochondrial",P82650
"55S ribosome, mitochondrial",P82663
"55S ribosome, mitochondrial",P82664
"55S ribosome, mitochondrial",P82673
"55S ribosome, mitochondrial",P82675
"55S ribosome, mitochondrial",P82909
"55S ribosome, mitochondrial",P82912
"55S ribosome, mitochondrial",P82914
"55S ribosome, mitochondrial",P82921
"55S ribosome, mitochondrial",P82930
"55S ribosome, mitochondrial",P82932
"55S ribosome, mitochondrial",P82933
"55S ribosome, mitochondrial",P83111
"55S ribosome, mitochondrial",Q13084
"55S ribosome, mitochondrial",Q13405
"55S ribosome, mitochondrial",Q16540
"55S ribosome, mitochondrial",Q4U2R6
"55S ribosome, mitochondrial",Q5T653
"55S ribosome, mitochondrial",Q6P161
"55S ribosome, mitochondrial",Q6P1L8
"55S ribosome, mitochondrial",Q7Z2W9
"55S ribosome, mitochondrial",Q7Z7F7
"55S ribosome, mitochondrial",Q7Z7H8
"55S ribosome, mitochondrial",Q86TS9
"55S ribosome, mitochondrial",Q8IXM3
"55S ribosome, mitochondrial",Q8N5N7
"55S ribosome, mitochondrial",Q8N983
"55S ribosome, mitochondrial",Q8TCC3
"55S ribosome, mitochondrial",Q92552
"55S ribosome, mitochondrial",Q92665
"55S ribosome, mitochondrial",Q96A35
"55S ribosome, mitochondrial",Q96DV4
"55S ribosome, mitochondrial",Q96EL2
"55S ribosome, mitochondrial",Q96EL3
"55S ribosome, mitochondrial",Q96GC5
"55S ribosome, mitochondrial",Q9BQ48
"55S ribosome, mitochondrial",Q9BRJ2
"55S ribosome, mitochondrial",Q9BYC8
"55S ribosome, mitochondrial",Q9BYC9
"55S ribosome, mitochondrial",Q9BYD1
"55S ribosome, mitochondrial",Q9BYD2
"55S ribosome, mitochondrial",Q9BYD3
"55S ribosome, mitochondrial",Q9BYD6
"55S ribosome, mitochondrial",Q9BYN8
"55S ribosome, mitochondrial",Q9BZE1
"55S ribosome, mitochondrial",Q9H0U6
"55S ribosome, mitochondrial",Q9H2W6
"55S ribosome, mitochondrial",Q9H9J2
"55S ribosome, mitochondrial",Q9HD33
"55S ribosome, mitochondrial",Q9NP92
"55S ribosome, mitochondrial",Q9NQ50
"55S ribosome, mitochondrial",Q9NRX2
"55S ribosome, mitochondrial",Q9NVS2
"55S ribosome, mitochondrial",Q9NWU5
"55S ribosome, mitochondrial",Q9NX20
"55S ribosome, mitochondrial",Q9NYK5
"55S ribosome, mitochondrial",Q9NZE8
"55S ribosome, mitochondrial",Q9P015
"55S ribosome, mitochondrial",Q9P0J6
"55S ribosome, mitochondrial",Q9P0M9
"55S ribosome, mitochondrial",Q9Y291
"55S ribosome, mitochondrial",Q9Y2Q9
"55S ribosome, mitochondrial",Q9Y2R5
"55S ribosome, mitochondrial",Q9Y2R9
"55S ribosome, mitochondrial",Q9Y399
"55S ribosome, mitochondrial",Q9Y3B7
"55S ribosome, mitochondrial",Q9Y3D3
"55S ribosome, mitochondrial",Q9Y3D5
"55S ribosome, mitochondrial",Q9Y3D9
"55S ribosome, mitochondrial",Q9Y676
"55S ribosome, mitochondrial",Q9Y6G3
5FMC (Friends of Methylated Chtop) complex,Q8IZL8
5FMC (Friends of Methylated Chtop) complex,Q9BV38
5FMC (Friends of Methylated Chtop) complex,Q9H4L4
5FMC (Friends of Methylated Chtop) complex,Q9NXF1
5FMC (Friends of Methylated Chtop) complex,Q9Y4W2
5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex,A6H8Y1
5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex,P20226
5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex,Q12789
5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex,Q8WUA4
5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex,Q92664
5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex,Q92994
5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex,Q9UKN8
5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex,Q9Y5Q8
5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex,Q9Y5Q9
5S-DNA-TFIIIA-TFIIIC2 subcomplex,Q12789
5S-DNA-TFIIIA-TFIIIC2 subcomplex,Q8WUA4
5S-DNA-TFIIIA-TFIIIC2 subcomplex,Q92664
5S-DNA-TFIIIA-TFIIIC2 subcomplex,Q9UKN8
5S-DNA-TFIIIA-TFIIIC2 subcomplex,Q9Y5Q8
5S-DNA-TFIIIA-TFIIIC2 subcomplex,Q9Y5Q9
60S APC containing complex,P23258
60S APC containing complex,P25054
60S APC containing complex,P46940
60S APC containing complex,Q71U36
"60S ribosomal subunit, cytoplasmic",P05386
"60S ribosomal subunit, cytoplasmic",P05387
"60S ribosomal subunit, cytoplasmic",P05388
"60S ribosomal subunit, cytoplasmic",P18077
"60S ribosomal subunit, cytoplasmic",P18124
"60S ribosomal subunit, cytoplasmic",P18621
"60S ribosomal subunit, cytoplasmic",P26373
"60S ribosomal subunit, cytoplasmic",P27635
"60S ribosomal subunit, cytoplasmic",P30050
"60S ribosomal subunit, cytoplasmic",P32969
"60S ribosomal subunit, cytoplasmic",P35268
"60S ribosomal subunit, cytoplasmic",P36578
"60S ribosomal subunit, cytoplasmic",P39023
"60S ribosomal subunit, cytoplasmic",P40429
"60S ribosomal subunit, cytoplasmic",P42766
"60S ribosomal subunit, cytoplasmic",P46776
"60S ribosomal subunit, cytoplasmic",P46777
"60S ribosomal subunit, cytoplasmic",P46778
"60S ribosomal subunit, cytoplasmic",P46779
"60S ribosomal subunit, cytoplasmic",P47914
"60S ribosomal subunit, cytoplasmic",P49207
"60S ribosomal subunit, cytoplasmic",P50914
"60S ribosomal subunit, cytoplasmic",P61254
"60S ribosomal subunit, cytoplasmic",P61313
"60S ribosomal subunit, cytoplasmic",P61353
"60S ribosomal subunit, cytoplasmic",P61513
"60S ribosomal subunit, cytoplasmic",P61927
"60S ribosomal subunit, cytoplasmic",P62424
"60S ribosomal subunit, cytoplasmic",P62750
"60S ribosomal subunit, cytoplasmic",P62829
"60S ribosomal subunit, cytoplasmic",P62888
"60S ribosomal subunit, cytoplasmic",P62891
"60S ribosomal subunit, cytoplasmic",P62899
"60S ribosomal subunit, cytoplasmic",P62906
"60S ribosomal subunit, cytoplasmic",P62910
"60S ribosomal subunit, cytoplasmic",P62913
"60S ribosomal subunit, cytoplasmic",P62917
"60S ribosomal subunit, cytoplasmic",P62945
"60S ribosomal subunit, cytoplasmic",P62987
"60S ribosomal subunit, cytoplasmic",P63173
"60S ribosomal subunit, cytoplasmic",P83731
"60S ribosomal subunit, cytoplasmic",P83881
"60S ribosomal subunit, cytoplasmic",P84098
"60S ribosomal subunit, cytoplasmic",Q02543
"60S ribosomal subunit, cytoplasmic",Q02878
"60S ribosomal subunit, cytoplasmic",Q07020
"60S ribosomal subunit, cytoplasmic",Q9Y3U8
6S methyltransferase and RG-containing Sm proteins complex,P14678
6S methyltransferase and RG-containing Sm proteins complex,P54105
6S methyltransferase and RG-containing Sm proteins complex,P62304
6S methyltransferase and RG-containing Sm proteins complex,P62306
6S methyltransferase and RG-containing Sm proteins complex,P62308
6S methyltransferase and RG-containing Sm proteins complex,P62314
6S methyltransferase and RG-containing Sm proteins complex,P62316
6S methyltransferase and RG-containing Sm proteins complex,P62318
6S methyltransferase complex,P54105
6S methyltransferase complex,P62314
6S methyltransferase complex,P62318
7SK RNP complex,O60563
7SK RNP complex,O94992
7SK RNP complex,P50750
7SK RNP complex,Q4G0J3
9-1-1-APE1 complex,O60671
9-1-1-APE1 complex,O60921
9-1-1-APE1 complex,P27695
9-1-1-APE1 complex,Q99638
9-1-1-FEN1 complex,O60671
9-1-1-FEN1 complex,O60921
9-1-1-FEN1 complex,P39748
9-1-1-FEN1 complex,Q99638
9-1-1-LIG1 complex,O60671
9-1-1-LIG1 complex,O60921
9-1-1-LIG1 complex,P18858
9-1-1-LIG1 complex,Q99638
9-1-1-POLB complex,O60671
9-1-1-POLB complex,O60921
9-1-1-POLB complex,P06746
9-1-1-POLB complex,Q99638
9-1-1-RAD17-RFC complex,O60671
9-1-1-RAD17-RFC complex,O60921
9-1-1-RAD17-RFC complex,O75943
9-1-1-RAD17-RFC complex,P35249
9-1-1-RAD17-RFC complex,P35250
9-1-1-RAD17-RFC complex,P40937
9-1-1-RAD17-RFC complex,P40938
9-1-1-RAD17-RFC complex,Q99638
9-1-1-RHINO complex,O60671
9-1-1-RHINO complex,O60921
9-1-1-RHINO complex,Q99638
9-1-1-RHINO complex,Q9BSD3
9-1-1 complex,O60671
9-1-1 complex,O60921
9-1-1 complex,Q99638
9b-1-1 complex,O60671
9b-1-1 complex,O60921
9b-1-1 complex,Q6WBX8
9b-1b-1 complex,O60671
9b-1b-1 complex,Q6WBX8
9b-1b-1 complex,Q8NHY5
AATF-NGDN-NOL10 complex,Q8NEJ9
AATF-NGDN-NOL10 complex,Q9BSC4
AATF-NGDN-NOL10 complex,Q9NY61
ABCB1-ANXA2-RACK1-SRC complex,P07355
ABCB1-ANXA2-RACK1-SRC complex,P08183
ABCB1-ANXA2-RACK1-SRC complex,P12931
ABCB1-ANXA2-RACK1-SRC complex,P63244
ABCB1-PPP2R3C-TFPI2 complex,P08183
ABCB1-PPP2R3C-TFPI2 complex,P48307
ABCB1-PPP2R3C-TFPI2 complex,Q969Q6
ABCG5-ABCG8 complex,Q9H221
ABCG5-ABCG8 complex,Q9H222
ABI1-WASF2 complex,Q8IZP0
ABI1-WASF2 complex,Q9Y6W5
ABI1-WASL complex,O00401
ABI1-WASL complex,Q8IZP0
ABI3-WAVE2-CYFIP1 complex,Q7L576
ABI3-WAVE2-CYFIP1 complex,Q9P2A4
ABI3-WAVE2-CYFIP1 complex,Q9Y6W5
ABIN2-NFKB1-MAP3K8 complex,P19838
ABIN2-NFKB1-MAP3K8 complex,P41279
ABIN2-NFKB1-MAP3K8 complex,Q8NFZ5
ABL2-HRAS-RIN1 complex,P01112
ABL2-HRAS-RIN1 complex,P42684
ABL2-HRAS-RIN1 complex,Q13671
ABRAXAS2-SHMT1 complex,P34896
ABRAXAS2-SHMT1 complex,Q15018
ABRAXAS2-SHMT2 complex,P34897
ABRAXAS2-SHMT2 complex,Q15018
ACAP1-CHC-Glut4 complex,P14672
ACAP1-CHC-Glut4 complex,Q00610
ACAP1-CHC-Glut4 complex,Q15027
ACK1 signaling complex,P46108
ACK1 signaling complex,P56945
ACK1 signaling complex,P60953
ACK1 signaling complex,Q07912
ACT-CREB complex,P16220
ACT-CREB complex,Q5TD97
ACT homodimer complex,Q5TD97
ACTB-ANP32A-C1QBP-PSMA1-PTMA-PSMA1 complex,P06454
ACTB-ANP32A-C1QBP-PSMA1-PTMA-PSMA1 complex,P25786
ACTB-ANP32A-C1QBP-PSMA1-PTMA-PSMA1 complex,P39687
ACTB-ANP32A-C1QBP-PSMA1-PTMA-PSMA1 complex,P60709
ACTB-ANP32A-C1QBP-PSMA1-PTMA-PSMA1 complex,Q00325
ACTB-ANP32A-C1QBP-PSMA1-PTMA-PSMA1 complex,Q07021
"Actin-ribonucleoprotein complex (POLR2A, GTF2F1, HNRNPU)",P24928
"Actin-ribonucleoprotein complex (POLR2A, GTF2F1, HNRNPU)",P35269
"Actin-ribonucleoprotein complex (POLR2A, GTF2F1, HNRNPU)",Q00839
ACTN1-PARVB complex,P12814
ACTN1-PARVB complex,Q9HBI1
ADA-DPP4 complex,P00813
ADA-DPP4 complex,P27487
ADAM12-alphaVbeta3-integrin-MMP-14 complex,O43184
ADAM12-alphaVbeta3-integrin-MMP-14 complex,P05106
ADAM12-alphaVbeta3-integrin-MMP-14 complex,P06756
ADAM12-alphaVbeta3-integrin-MMP-14 complex,P50281
ADAM22-LGI1 complex,O95970
ADAM22-LGI1 complex,Q9P0K1
ADIPOQ-PLOD3-GLT25D1 complex,O60568
ADIPOQ-PLOD3-GLT25D1 complex,Q15848
ADIPOQ-PLOD3-GLT25D1 complex,Q8NBJ5
ADRA1A-CXCR4 complex,P35348
ADRA1A-CXCR4 complex,P61073
ADRB1-CXCR4 complex,P08588
ADRB1-CXCR4 complex,P61073
ADRB2 homodimer complex,P07550
Afadin-beta-catenin complex,P35222
Afadin-beta-catenin complex,P55196
AFF1-MLLT1-CBX8 complex,P51825
AFF1-MLLT1-CBX8 complex,Q03111
AFF1-MLLT1-CBX8 complex,Q9HC52
AFF4 super elongation complex (SEC),O00472
AFF4 super elongation complex (SEC),O60563
AFF4 super elongation complex (SEC),O60583
AFF4 super elongation complex (SEC),P42568
AFF4 super elongation complex (SEC),P50750
AFF4 super elongation complex (SEC),P51825
AFF4 super elongation complex (SEC),P55199
AFF4 super elongation complex (SEC),Q03111
AFF4 super elongation complex (SEC),Q96JC9
AFF4 super elongation complex (SEC),Q9HB65
AFF4 super elongation complex (SEC),Q9UHB7
AGO2-FXR1-TNF(alpha)ARE-RNP complex,P51114
AGO2-FXR1-TNF(alpha)ARE-RNP complex,Q9UKV8
AGPS-GNPAT complex,O00116
AGPS-GNPAT complex,O15228
AHI1-HAP1 complex,P54257
AHI1-HAP1 complex,Q8N157
AHI1-NPHP1 heterodimer,O15259
AHI1-NPHP1 heterodimer,Q8N157
AHI1-NPHP1 heterotetramer,O15259
AHI1-NPHP1 heterotetramer,Q8N157
AIF-CYPA-DNA complex,O95831
AIF-CYPA-DNA complex,P62937
AIP4-DTX3L complex,Q8TDB6
AIP4-DTX3L complex,Q96J02
AIRE homodimer complex,O43918
AJUBA-GFI1-HDAC1 complex,Q13547
AJUBA-GFI1-HDAC1 complex,Q96IF1
AJUBA-GFI1-HDAC1 complex,Q99684
AJUBA-GFI1-HDAC2 complex,Q92769
AJUBA-GFI1-HDAC2 complex,Q96IF1
AJUBA-GFI1-HDAC2 complex,Q99684
AJUBA-GFI1-HDAC3 complex,O15379
AJUBA-GFI1-HDAC3 complex,Q96IF1
AJUBA-GFI1-HDAC3 complex,Q99684
AJUBA-PRMT5-SNAI1 complex,O14744
AJUBA-PRMT5-SNAI1 complex,O95863
AJUBA-PRMT5-SNAI1 complex,Q96IF1
AK2-FADD-caspase-10 (AFAC10) complex,P54819
AK2-FADD-caspase-10 (AFAC10) complex,Q13158
AK2-FADD-caspase-10 (AFAC10) complex,Q92851
AKAP13-MAP2K3-MAP3K20-MAPK14-PKN1 complex,P46734
AKAP13-MAP2K3-MAP3K20-MAPK14-PKN1 complex,Q12802
AKAP13-MAP2K3-MAP3K20-MAPK14-PKN1 complex,Q16512
AKAP13-MAP2K3-MAP3K20-MAPK14-PKN1 complex,Q16539
AKAP13-MAP2K3-MAP3K20-MAPK14-PKN1 complex,Q9NYL2
AKAP250-PKA-PDE4D complex,P17612
AKAP250-PKA-PDE4D complex,Q02952
AKAP250-PKA-PDE4D complex,Q08499
AKAP5-PRKAR2A-PPP3CA complex,P13861
AKAP5-PRKAR2A-PPP3CA complex,P24588
AKAP5-PRKAR2A-PPP3CA complex,Q08209
Akt-PHLPP1-PHLPP2-FANCI-FANCD2-USP1-UAF1 complex,O60346
Akt-PHLPP1-PHLPP2-FANCI-FANCD2-USP1-UAF1 complex,O94782
Akt-PHLPP1-PHLPP2-FANCI-FANCD2-USP1-UAF1 complex,P31749
Akt-PHLPP1-PHLPP2-FANCI-FANCD2-USP1-UAF1 complex,Q6ZVD8
Akt-PHLPP1-PHLPP2-FANCI-FANCD2-USP1-UAF1 complex,Q8TAF3
Akt-PHLPP1-PHLPP2-FANCI-FANCD2-USP1-UAF1 complex,Q9BXW9
Akt-PHLPP1-PHLPP2-FANCI-FANCD2-USP1-UAF1 complex,Q9NVI1
"AKT1-APPL1-HDAC3 complex, induced by IGF-1",O15379
"AKT1-APPL1-HDAC3 complex, induced by IGF-1",P31749
"AKT1-APPL1-HDAC3 complex, induced by IGF-1",Q9UKG1
AKT1-FOXO1-WDFY2 complex,P31749
AKT1-FOXO1-WDFY2 complex,Q12778
AKT1-FOXO1-WDFY2 complex,Q96P53
AKT1-NQO2 complex,P16083
AKT1-NQO2 complex,P31749
ALL-1 supercomplex,O00422
ALL-1 supercomplex,O60264
ALL-1 supercomplex,O60341
ALL-1 supercomplex,O75446
ALL-1 supercomplex,O94776
ALL-1 supercomplex,O95983
ALL-1 supercomplex,P20226
ALL-1 supercomplex,P21675
ALL-1 supercomplex,P49848
ALL-1 supercomplex,P51531
ALL-1 supercomplex,P61964
ALL-1 supercomplex,P62826
ALL-1 supercomplex,Q03164
ALL-1 supercomplex,Q09028
ALL-1 supercomplex,Q12824
ALL-1 supercomplex,Q12873
ALL-1 supercomplex,Q13547
ALL-1 supercomplex,Q15029
ALL-1 supercomplex,Q15291
ALL-1 supercomplex,Q16514
ALL-1 supercomplex,Q16576
ALL-1 supercomplex,Q16594
ALL-1 supercomplex,Q8TAQ2
ALL-1 supercomplex,Q92769
ALL-1 supercomplex,Q92797
ALL-1 supercomplex,Q92922
ALL-1 supercomplex,Q96ST3
ALL-1 supercomplex,Q9P2I0
Alpha-dystrobrevin-ZO-1-actin complex,P60709
Alpha-dystrobrevin-ZO-1-actin complex,Q07157
Alpha-dystrobrevin-ZO-1-actin complex,Q9Y4J8
