ComplexName,Reference,Organism
"39S ribosomal subunit, mitochondrial",Q9BYD3,human
"39S ribosomal subunit, mitochondrial",Q9BYD6,human
"39S ribosomal subunit, mitochondrial",Q9BZE1,human
"39S ribosomal subunit, mitochondrial",Q9H0U6,human
"39S ribosomal subunit, mitochondrial",Q9H2W6,human
"39S ribosomal subunit, mitochondrial",Q9H9J2,human
"39S ribosomal subunit, mitochondrial",Q9HD33,human
"39S ribosomal subunit, mitochondrial",Q9NQ50,human
"39S ribosomal subunit, mitochondrial",Q9NRX2,human
"39S ribosomal subunit, mitochondrial",Q9NWU5,human
"39S ribosomal subunit, mitochondrial",Q9NX20,human
"39S ribosomal subunit, mitochondrial",Q9NYK5,human
"39S ribosomal subunit, mitochondrial",Q9NZE8,human
"39S ribosomal subunit, mitochondrial",Q9P015,human
"39S ribosomal subunit, mitochondrial",Q9P0J6,human
"39S ribosomal subunit, mitochondrial",Q9P0M9,human
"39S ribosomal subunit, mitochondrial",Q9Y3B7,human
"39S ribosomal subunit, mitochondrial",Q9Y6G3,human
3M complex,O75147,human
3M complex,P04637,human
3M complex,P62877,human
3M complex,Q14999,human
3M complex,Q8IWT3,human
3M complex,Q8N3Y1,human
3M complex,Q9H0W5,human
3M core complex,O75147,human
3M core complex,Q14999,human
3M core complex,Q9H0W5,human
"40S ribosomal subunit, cytoplasmic",P08708,human
"40S ribosomal subunit, cytoplasmic",P08865,human
"40S ribosomal subunit, cytoplasmic",P15880,human
"40S ribosomal subunit, cytoplasmic",P22090,human
"40S ribosomal subunit, cytoplasmic",P23396,human
"40S ribosomal subunit, cytoplasmic",P25398,human
"40S ribosomal subunit, cytoplasmic",P39019,human
"40S ribosomal subunit, cytoplasmic",P46781,human
"40S ribosomal subunit, cytoplasmic",P42677,human
"40S ribosomal subunit, cytoplasmic",P46782,human
"40S ribosomal subunit, cytoplasmic",P46783,human
"40S ribosomal subunit, cytoplasmic",P60866,human
"40S ribosomal subunit, cytoplasmic",P61247,human
"40S ribosomal subunit, cytoplasmic",P62081,human
"40S ribosomal subunit, cytoplasmic",P62241,human
"40S ribosomal subunit, cytoplasmic",P62244,human
"40S ribosomal subunit, cytoplasmic",P62249,human
"40S ribosomal subunit, cytoplasmic",P62263,human
"40S ribosomal subunit, cytoplasmic",P62266,human
"40S ribosomal subunit, cytoplasmic",P62269,human
"40S ribosomal subunit, cytoplasmic",P62273,human
"40S ribosomal subunit, cytoplasmic",P62277,human
"40S ribosomal subunit, cytoplasmic",P62280,human
"40S ribosomal subunit, cytoplasmic",P62701,human
"40S ribosomal subunit, cytoplasmic",P62753,human
"40S ribosomal subunit, cytoplasmic",P62841,human
"40S ribosomal subunit, cytoplasmic",P62847,human
"40S ribosomal subunit, cytoplasmic",P62851,human
"40S ribosomal subunit, cytoplasmic",P62854,human
"40S ribosomal subunit, cytoplasmic",P62857,human
"40S ribosomal subunit, cytoplasmic",P62861,human
"40S ribosomal subunit, cytoplasmic",P62979,human
"40S ribosomal subunit, cytoplasmic",P63220,human
4E-T-DDX6-CNOT1 complex,A5YKK6,human
4E-T-DDX6-CNOT1 complex,P26196,human
4E-T-DDX6-CNOT1 complex,Q9NRA8,human
53BP1-containing complex,P12956,human
53BP1-containing complex,P13010,human
53BP1-containing complex,P15927,human
53BP1-containing complex,P27694,human
53BP1-containing complex,Q12888,human
"55S ribosome, mitochondrial",O15235,human
"55S ribosome, mitochondrial",O60783,human
"55S ribosome, mitochondrial",O75394,human
"55S ribosome, mitochondrial",P09001,human
"55S ribosome, mitochondrial",P49406,human
"55S ribosome, mitochondrial",P51398,human
"55S ribosome, mitochondrial",P52815,human
"55S ribosome, mitochondrial",P82650,human
"55S ribosome, mitochondrial",P82663,human
"55S ribosome, mitochondrial",P82664,human
"55S ribosome, mitochondrial",P82673,human
"55S ribosome, mitochondrial",P82675,human
"55S ribosome, mitochondrial",P82909,human
"55S ribosome, mitochondrial",P82912,human
"55S ribosome, mitochondrial",P82914,human
"55S ribosome, mitochondrial",P82921,human
"55S ribosome, mitochondrial",P82930,human
"55S ribosome, mitochondrial",P82932,human
"55S ribosome, mitochondrial",P82933,human
"55S ribosome, mitochondrial",P83111,human
"55S ribosome, mitochondrial",Q13084,human
"55S ribosome, mitochondrial",Q13405,human
"55S ribosome, mitochondrial",Q16540,human
"55S ribosome, mitochondrial",Q4U2R6,human
"55S ribosome, mitochondrial",Q5T653,human
"55S ribosome, mitochondrial",Q6P161,human
"55S ribosome, mitochondrial",Q6P1L8,human
"55S ribosome, mitochondrial",Q7Z2W9,human
"55S ribosome, mitochondrial",Q7Z7F7,human
"55S ribosome, mitochondrial",Q7Z7H8,human
"55S ribosome, mitochondrial",Q86TS9,human
"55S ribosome, mitochondrial",Q8IXM3,human
"55S ribosome, mitochondrial",Q8N5N7,human
"55S ribosome, mitochondrial",Q8N983,human
"55S ribosome, mitochondrial",Q8TCC3,human
"55S ribosome, mitochondrial",Q92552,human
"55S ribosome, mitochondrial",Q92665,human
"55S ribosome, mitochondrial",Q96A35,human
"55S ribosome, mitochondrial",Q96DV4,human
"55S ribosome, mitochondrial",Q96EL2,human
"55S ribosome, mitochondrial",Q96EL3,human
"55S ribosome, mitochondrial",Q96GC5,human
"55S ribosome, mitochondrial",Q9BQ48,human
"55S ribosome, mitochondrial",Q9BRJ2,human
"55S ribosome, mitochondrial",Q9BYC8,human
"55S ribosome, mitochondrial",Q9BYC9,human
"55S ribosome, mitochondrial",Q9BYD1,human
"55S ribosome, mitochondrial",Q9BYD2,human
"55S ribosome, mitochondrial",Q9BYD3,human
"55S ribosome, mitochondrial",Q9BYD6,human
"55S ribosome, mitochondrial",Q9BYN8,human
"55S ribosome, mitochondrial",Q9BZE1,human
"55S ribosome, mitochondrial",Q9H0U6,human
"55S ribosome, mitochondrial",Q9H2W6,human
"55S ribosome, mitochondrial",Q9H9J2,human
"55S ribosome, mitochondrial",Q9HD33,human
"55S ribosome, mitochondrial",Q9NP92,human
"55S ribosome, mitochondrial",Q9NQ50,human
"55S ribosome, mitochondrial",Q9NRX2,human
"55S ribosome, mitochondrial",Q9NVS2,human
"55S ribosome, mitochondrial",Q9NWU5,human
"55S ribosome, mitochondrial",Q9NX20,human
"55S ribosome, mitochondrial",Q9NYK5,human
"55S ribosome, mitochondrial",Q9NZE8,human
"55S ribosome, mitochondrial",Q9P015,human
"55S ribosome, mitochondrial",Q9P0J6,human
"55S ribosome, mitochondrial",Q9P0M9,human
"55S ribosome, mitochondrial",Q9Y291,human
"55S ribosome, mitochondrial",Q9Y2Q9,human
"55S ribosome, mitochondrial",Q9Y2R5,human
"55S ribosome, mitochondrial",Q9Y2R9,human
"55S ribosome, mitochondrial",Q9Y399,human
"55S ribosome, mitochondrial",Q9Y3B7,human
"55S ribosome, mitochondrial",Q9Y3D3,human
"55S ribosome, mitochondrial",Q9Y3D5,human
"55S ribosome, mitochondrial",Q9Y3D9,human
"55S ribosome, mitochondrial",Q9Y676,human
"55S ribosome, mitochondrial",Q9Y6G3,human
5FMC (Friends of Methylated Chtop) complex,Q8IZL8,human
5FMC (Friends of Methylated Chtop) complex,Q9BV38,human
5FMC (Friends of Methylated Chtop) complex,Q9H4L4,human
5FMC (Friends of Methylated Chtop) complex,Q9NXF1,human
5FMC (Friends of Methylated Chtop) complex,Q9Y4W2,human
5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex,A6H8Y1,human
5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex,P20226,human
5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex,Q12789,human
5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex,Q8WUA4,human
5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex,Q92664,human
5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex,Q92994,human
5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex,Q9UKN8,human
5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex,Q9Y5Q8,human
5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex,Q9Y5Q9,human
5S-DNA-TFIIIA-TFIIIC2 subcomplex,Q12789,human
5S-DNA-TFIIIA-TFIIIC2 subcomplex,Q8WUA4,human
5S-DNA-TFIIIA-TFIIIC2 subcomplex,Q92664,human
5S-DNA-TFIIIA-TFIIIC2 subcomplex,Q9UKN8,human
5S-DNA-TFIIIA-TFIIIC2 subcomplex,Q9Y5Q8,human
5S-DNA-TFIIIA-TFIIIC2 subcomplex,Q9Y5Q9,human
60S APC containing complex,P23258,human
60S APC containing complex,P25054,human
60S APC containing complex,P46940,human
60S APC containing complex,Q71U36,human
"60S ribosomal subunit, cytoplasmic",P05386,human
"60S ribosomal subunit, cytoplasmic",P05387,human
"60S ribosomal subunit, cytoplasmic",P05388,human
"60S ribosomal subunit, cytoplasmic",P18077,human
"60S ribosomal subunit, cytoplasmic",P18124,human
"60S ribosomal subunit, cytoplasmic",P18621,human
"60S ribosomal subunit, cytoplasmic",P26373,human
"60S ribosomal subunit, cytoplasmic",P27635,human
"60S ribosomal subunit, cytoplasmic",P30050,human
"60S ribosomal subunit, cytoplasmic",P32969,human
"60S ribosomal subunit, cytoplasmic",P35268,human
"60S ribosomal subunit, cytoplasmic",P36578,human
"60S ribosomal subunit, cytoplasmic",P39023,human
"60S ribosomal subunit, cytoplasmic",P40429,human
"60S ribosomal subunit, cytoplasmic",P42766,human
"60S ribosomal subunit, cytoplasmic",P46776,human
"60S ribosomal subunit, cytoplasmic",P46777,human
"60S ribosomal subunit, cytoplasmic",P46778,human
"60S ribosomal subunit, cytoplasmic",P46779,human
"60S ribosomal subunit, cytoplasmic",P47914,human
"60S ribosomal subunit, cytoplasmic",P49207,human
"60S ribosomal subunit, cytoplasmic",P50914,human
"60S ribosomal subunit, cytoplasmic",P61254,human
"60S ribosomal subunit, cytoplasmic",P61313,human
"60S ribosomal subunit, cytoplasmic",P61353,human
"60S ribosomal subunit, cytoplasmic",P61513,human
"60S ribosomal subunit, cytoplasmic",P61927,human
"60S ribosomal subunit, cytoplasmic",P62424,human
"60S ribosomal subunit, cytoplasmic",P62750,human
"60S ribosomal subunit, cytoplasmic",P62829,human
"60S ribosomal subunit, cytoplasmic",P62888,human
"60S ribosomal subunit, cytoplasmic",P62891,human
"60S ribosomal subunit, cytoplasmic",P62899,human
"60S ribosomal subunit, cytoplasmic",P62906,human
"60S ribosomal subunit, cytoplasmic",P62910,human
"60S ribosomal subunit, cytoplasmic",P62913,human
"60S ribosomal subunit, cytoplasmic",P62917,human
"60S ribosomal subunit, cytoplasmic",P62945,human
"60S ribosomal subunit, cytoplasmic",P62987,human
"60S ribosomal subunit, cytoplasmic",P63173,human
"60S ribosomal subunit, cytoplasmic",P83731,human
"60S ribosomal subunit, cytoplasmic",P83881,human
"60S ribosomal subunit, cytoplasmic",P84098,human
"60S ribosomal subunit, cytoplasmic",Q02543,human
"60S ribosomal subunit, cytoplasmic",Q02878,human
"60S ribosomal subunit, cytoplasmic",Q07020,human
"60S ribosomal subunit, cytoplasmic",Q9Y3U8,human
6S methyltransferase and RG-containing Sm proteins complex,P14678,human
6S methyltransferase and RG-containing Sm proteins complex,P54105,human
6S methyltransferase and RG-containing Sm proteins complex,P62304,human
6S methyltransferase and RG-containing Sm proteins complex,P62306,human
6S methyltransferase and RG-containing Sm proteins complex,P62308,human
6S methyltransferase and RG-containing Sm proteins complex,P62314,human
6S methyltransferase and RG-containing Sm proteins complex,P62316,human
6S methyltransferase and RG-containing Sm proteins complex,P62318,human
6S methyltransferase complex,P54105,human
6S methyltransferase complex,P62314,human
6S methyltransferase complex,P62318,human
7SK RNP complex,O60563,human
7SK RNP complex,O94992,human
7SK RNP complex,P50750,human
7SK RNP complex,Q4G0J3,human
9-1-1-APE1 complex,O60671,human
9-1-1-APE1 complex,O60921,human
9-1-1-APE1 complex,P27695,human
9-1-1-APE1 complex,Q99638,human
9-1-1-FEN1 complex,O60671,human
9-1-1-FEN1 complex,O60921,human
9-1-1-FEN1 complex,P39748,human
9-1-1-FEN1 complex,Q99638,human
9-1-1-LIG1 complex,O60671,human
9-1-1-LIG1 complex,O60921,human
9-1-1-LIG1 complex,P18858,human
9-1-1-LIG1 complex,Q99638,human
9-1-1-POLB complex,O60671,human
9-1-1-POLB complex,O60921,human
9-1-1-POLB complex,P06746,human
9-1-1-POLB complex,Q99638,human
9-1-1-RAD17-RFC complex,O60671,human
9-1-1-RAD17-RFC complex,O60921,human
9-1-1-RAD17-RFC complex,O75943,human
9-1-1-RAD17-RFC complex,P35249,human
9-1-1-RAD17-RFC complex,P35250,human
9-1-1-RAD17-RFC complex,P40937,human
9-1-1-RAD17-RFC complex,P40938,human
9-1-1-RAD17-RFC complex,Q99638,human
9-1-1-RHINO complex,O60671,human
9-1-1-RHINO complex,O60921,human
9-1-1-RHINO complex,Q99638,human
9-1-1-RHINO complex,Q9BSD3,human
9-1-1 complex,O60671,human
9-1-1 complex,O60921,human
9-1-1 complex,Q99638,human
9b-1-1 complex,O60671,human
9b-1-1 complex,O60921,human
9b-1-1 complex,Q6WBX8,human
9b-1b-1 complex,O60671,human
9b-1b-1 complex,Q6WBX8,human
9b-1b-1 complex,Q8NHY5,human
AATF-NGDN-NOL10 complex,Q8NEJ9,human
AATF-NGDN-NOL10 complex,Q9BSC4,human
AATF-NGDN-NOL10 complex,Q9NY61,human
ABCB1-ANXA2-RACK1-SRC complex,P07355,human
ABCB1-ANXA2-RACK1-SRC complex,P08183,human
ABCB1-ANXA2-RACK1-SRC complex,P12931,human
ABCB1-ANXA2-RACK1-SRC complex,P63244,human
ABCB1-PPP2R3C-TFPI2 complex,P08183,human
ABCB1-PPP2R3C-TFPI2 complex,P48307,human
ABCB1-PPP2R3C-TFPI2 complex,Q969Q6,human
ABCG5-ABCG8 complex,Q9H221,human
ABCG5-ABCG8 complex,Q9H222,human
ABI1-WASF2 complex,Q8IZP0,human
ABI1-WASF2 complex,Q9Y6W5,human
ABI1-WASL complex,O00401,human
ABI1-WASL complex,Q8IZP0,human
ABI3-WAVE2-CYFIP1 complex,Q7L576,human
ABI3-WAVE2-CYFIP1 complex,Q9P2A4,human
ABI3-WAVE2-CYFIP1 complex,Q9Y6W5,human
ABIN2-NFKB1-MAP3K8 complex,P19838,human
ABIN2-NFKB1-MAP3K8 complex,P41279,human
ABIN2-NFKB1-MAP3K8 complex,Q8NFZ5,human
ABL2-HRAS-RIN1 complex,P01112,human
ABL2-HRAS-RIN1 complex,P42684,human
ABL2-HRAS-RIN1 complex,Q13671,human
ABRAXAS2-SHMT1 complex,P34896,human
ABRAXAS2-SHMT1 complex,Q15018,human
ABRAXAS2-SHMT2 complex,P34897,human
ABRAXAS2-SHMT2 complex,Q15018,human
ACAP1-CHC-Glut4 complex,P14672,human
ACAP1-CHC-Glut4 complex,Q00610,human
ACAP1-CHC-Glut4 complex,Q15027,human
ACK1 signaling complex,P46108,human
ACK1 signaling complex,P56945,human
ACK1 signaling complex,P60953,human
ACK1 signaling complex,Q07912,human
ACT-CREB complex,P16220,human
ACT-CREB complex,Q5TD97,human
ACT homodimer complex,Q5TD97,human
ACTB-ANP32A-C1QBP-PSMA1-PTMA-PSMA1 complex,P06454,human
ACTB-ANP32A-C1QBP-PSMA1-PTMA-PSMA1 complex,P25786,human
ACTB-ANP32A-C1QBP-PSMA1-PTMA-PSMA1 complex,P39687,human
ACTB-ANP32A-C1QBP-PSMA1-PTMA-PSMA1 complex,P60709,human
ACTB-ANP32A-C1QBP-PSMA1-PTMA-PSMA1 complex,Q00325,human
ACTB-ANP32A-C1QBP-PSMA1-PTMA-PSMA1 complex,Q07021,human
"Actin-ribonucleoprotein complex (POLR2A, GTF2F1, HNRNPU)",P24928,human
"Actin-ribonucleoprotein complex (POLR2A, GTF2F1, HNRNPU)",P35269,human
"Actin-ribonucleoprotein complex (POLR2A, GTF2F1, HNRNPU)",Q00839,human
ACTN1-PARVB complex,P12814,human
ACTN1-PARVB complex,Q9HBI1,human
ADA-DPP4 complex,P00813,human
ADA-DPP4 complex,P27487,human
ADAM12-alphaVbeta3-integrin-MMP-14 complex,O43184,human
ADAM12-alphaVbeta3-integrin-MMP-14 complex,P05106,human
ADAM12-alphaVbeta3-integrin-MMP-14 complex,P06756,human
ADAM12-alphaVbeta3-integrin-MMP-14 complex,P50281,human
ADAM22-LGI1 complex,O95970,human
ADAM22-LGI1 complex,Q9P0K1,human
ADIPOQ-PLOD3-GLT25D1 complex,O60568,human
ADIPOQ-PLOD3-GLT25D1 complex,Q15848,human
ADIPOQ-PLOD3-GLT25D1 complex,Q8NBJ5,human
ADRA1A-CXCR4 complex,P35348,human
ADRA1A-CXCR4 complex,P61073,human
ADRB1-CXCR4 complex,P08588,human
ADRB1-CXCR4 complex,P61073,human
ADRB2 homodimer complex,P07550,human
Afadin-beta-catenin complex,P35222,human
Afadin-beta-catenin complex,P55196,human
AFF1-MLLT1-CBX8 complex,P51825,human
AFF1-MLLT1-CBX8 complex,Q03111,human
AFF1-MLLT1-CBX8 complex,Q9HC52,human
AFF4 super elongation complex (SEC),O00472,human
AFF4 super elongation complex (SEC),O60563,human
AFF4 super elongation complex (SEC),O60583,human
AFF4 super elongation complex (SEC),P42568,human
AFF4 super elongation complex (SEC),P50750,human
AFF4 super elongation complex (SEC),P51825,human
AFF4 super elongation complex (SEC),P55199,human
AFF4 super elongation complex (SEC),Q03111,human
AFF4 super elongation complex (SEC),Q96JC9,human
AFF4 super elongation complex (SEC),Q9HB65,human
AFF4 super elongation complex (SEC),Q9UHB7,human
AGO2-FXR1-TNF(alpha)ARE-RNP complex,P51114,human
AGO2-FXR1-TNF(alpha)ARE-RNP complex,Q9UKV8,human
AGPS-GNPAT complex,O00116,human
AGPS-GNPAT complex,O15228,human
AHI1-HAP1 complex,P54257,human
AHI1-HAP1 complex,Q8N157,human
AHI1-NPHP1 heterodimer,O15259,human
AHI1-NPHP1 heterodimer,Q8N157,human
AHI1-NPHP1 heterotetramer,O15259,human
AHI1-NPHP1 heterotetramer,Q8N157,human
AIF-CYPA-DNA complex,O95831,human
AIF-CYPA-DNA complex,P62937,human
AIP4-DTX3L complex,Q8TDB6,human
AIP4-DTX3L complex,Q96J02,human
AIRE homodimer complex,O43918,human
AJUBA-GFI1-HDAC1 complex,Q13547,human
AJUBA-GFI1-HDAC1 complex,Q96IF1,human
AJUBA-GFI1-HDAC1 complex,Q99684,human
AJUBA-GFI1-HDAC2 complex,Q92769,human
AJUBA-GFI1-HDAC2 complex,Q96IF1,human
AJUBA-GFI1-HDAC2 complex,Q99684,human
AJUBA-GFI1-HDAC3 complex,O15379,human
AJUBA-GFI1-HDAC3 complex,Q96IF1,human
AJUBA-GFI1-HDAC3 complex,Q99684,human
AJUBA-PRMT5-SNAI1 complex,O14744,human
AJUBA-PRMT5-SNAI1 complex,O95863,human
AJUBA-PRMT5-SNAI1 complex,Q96IF1,human
AK2-FADD-caspase-10 (AFAC10) complex,P54819,human
AK2-FADD-caspase-10 (AFAC10) complex,Q13158,human
AK2-FADD-caspase-10 (AFAC10) complex,Q92851,human
AKAP13-MAP2K3-MAP3K20-MAPK14-PKN1 complex,P46734,human
AKAP13-MAP2K3-MAP3K20-MAPK14-PKN1 complex,Q12802,human
AKAP13-MAP2K3-MAP3K20-MAPK14-PKN1 complex,Q16512,human
AKAP13-MAP2K3-MAP3K20-MAPK14-PKN1 complex,Q16539,human
AKAP13-MAP2K3-MAP3K20-MAPK14-PKN1 complex,Q9NYL2,human
AKAP250-PKA-PDE4D complex,P17612,human
AKAP250-PKA-PDE4D complex,Q02952,human
AKAP250-PKA-PDE4D complex,Q08499,human
